epoch,inclination,raan_sin,raan_cos,eccentricity,arg_perigee_sin,arg_perigee_cos,mean_motion,bstar
2024-03-13 12:10:30.565358+00:00,51.6401,0.9373002393967959,0.3485229708738138,0.0006175,0.025782637037006995,0.9996675725597074,15.49881203,0.00026262000000000003
2024-03-13 20:50:40.784646+00:00,51.6387,0.9259971484856366,0.3775305033986921,0.0006188,0.031072330484789742,0.9995171385615377,15.49889788,0.00026396
2024-03-13 21:10:13.768306+00:00,51.6397,0.9255411648826648,0.3786470019789406,0.0005991,0.03877672771419993,0.999247899866584,15.49892078,0.00020518
2024-03-14 04:34:55.234850+00:00,51.6389,0.9151173654702673,0.40318755860611216,0.0006125,0.04748127660376333,0.9988721281385705,15.498994339999998,0.00025994
2024-03-14 04:59:04.580157+00:00,51.6402,0.914489973104966,0.40460856279925467,0.0006102,0.0767694934032195,0.9970488678508256,15.49901188,0.00026012999999999996
2024-03-14 09:53:09.051662+00:00,51.64,0.9072048793296327,0.42068908581101405,0.0006168,0.0876217015125995,0.9961538221700688,15.499072570000001,0.00026068
2024-03-14 10:46:18.676123+00:00,51.6389,0.9058979894592706,0.4234959653806059,0.0006153,0.0633984257931763,0.9979882963276409,15.49908421,0.00027264
2024-03-14 11:21:56.826425+00:00,51.64,0.9049548292025135,0.4255076463508614,0.0006154,0.10821450814913934,0.9941275673805852,15.49909089,0.00026085
2024-03-14 23:17:00.655873+00:00,51.6411,0.8858791119610011,0.4639161551306315,0.0002465,-0.39016232319495486,0.9207460896246671,15.48890645,-0.007906
2024-03-15 09:05:51.464840+00:00,51.6399,0.868970288608869,0.49486426170720677,0.0005059,-0.481908140427825,0.8762217437323704,15.490055509999998,0.0012410000000000001
2024-03-15 09:59:45.806500+00:00,51.63880000000001,0.8673826803770789,0.49764172431768045,0.0004696,-0.5226920091817214,0.852521591244219,15.489814890000002,0.00021951999999999999
2024-03-15 11:57:16.252990+00:00,51.6392,0.8638539689047984,0.5037423154822588,0.0004869,-0.4668018940021159,0.8843619122033904,15.490082530000002,0.0009518
2024-03-15 21:13:22.186837+00:00,51.6392,0.8465473259886346,0.5323134648508268,0.0004705,-0.506295675221068,0.862359953414143,15.48997533,0.00012839
2024-03-16 01:59:18.975251+00:00,51.6389,0.8372943221607456,0.5467524285061546,0.0004807,-0.5017402355693237,0.8650183443204194,15.48985152,-9.2788e-05
2024-03-16 05:00:07.835336+00:00,51.6393,0.8313124952865854,0.5558053033035858,0.000475,-0.4801745076107884,0.8771729830773044,15.48990109,-3.6016e-06
2024-03-16 08:17:34.179087+00:00,51.6403,0.8246863015593905,0.5655904030482608,0.000448,-0.4808280922739689,0.8768148867806567,15.490072920000001,0.00021954000000000003
2024-03-16 10:46:11.713136+00:00,51.6387,0.8196492726754419,0.5728656647091176,0.000474,-0.46900918817433157,0.8831932865506024,15.49011864,0.00023524
2024-03-16 11:23:51.889651+00:00,51.6407,0.8183253046202011,0.574755335615299,0.0004432,-0.47576237807664135,0.8795738511386403,15.49013115,0.00024369
2024-03-16 20:03:36.042052+00:00,51.6387,0.8000512851045471,0.5999316137715721,0.0004725,-0.4467522214955504,0.8946577292958412,15.49021926,0.0002376
2024-03-16 20:24:31.479821+00:00,51.6405,0.7992631934346395,0.6009811541310277,0.0004579,-0.4369964611754053,0.8994632248848046,15.49026824,0.00026956999999999996
2024-03-17 04:16:40.997011+00:00,51.6406,0.7819351610927214,0.6233597707960465,0.0004481,-0.4111039166083517,0.9115884870649,15.49029762,0.00022913
2024-03-17 09:06:32.339815+00:00,51.6407,0.7709880725499705,0.6368495834855209,0.0004452,-0.4004018105971823,0.9163396695933764,15.49035261,0.00023132
2024-03-17 09:59:42.118932+00:00,51.63880000000001,0.768983549197597,0.639268567241865,0.0004762,-0.41353988990668167,0.910486001790236,15.49037162,0.00023571
2024-03-17 10:36:39.376228+00:00,51.6409,0.7675288791391119,0.6410143677699108,0.000446,-0.39948200332364286,0.9167410370549194,15.49037779,0.00023745
2024-03-17 19:17:05.900074+00:00,51.6387,0.747192902376876,0.6646072273438051,0.0004787,-0.3890628539547128,0.9212112112173917,15.490478829999999,0.00024969
2024-03-17 19:36:39.479024+00:00,51.6407,0.7463675968383008,0.6655339288043997,0.0004538,-0.3699202665466415,0.9290635050404583,15.49048727,0.00024276
2024-03-18 00:15:36.074021+00:00,51.6408,0.7351252426012994,0.6779313222520263,0.0004511,-0.3578464840070819,0.9337804313026533,15.49053635,0.0002414
2024-03-18 03:31:16.173408+00:00,51.6409,0.7271212732363579,0.6865090341773644,0.0004489,-0.34732848312341474,0.9377435282694239,15.490568760000002,0.00023986
2024-03-18 08:10:46.297614+00:00,51.641,0.7155110837757808,0.6986013806127266,0.0004512,-0.33296766502337993,0.9429382450875976,15.49062275,0.00024081
2024-03-18 09:13:11.134554+00:00,51.63880000000001,0.712949447331596,0.7012154344775732,0.0004704,-0.36731465289251963,0.9300967400063543,15.490635839999998,0.00025097000000000005
2024-03-18 09:13:11.142319+00:00,51.63880000000001,0.7129469996236331,0.7012179231363523,0.0004752,-0.36402188124996787,0.9313903961128407,15.49064139,0.00025993
2024-03-18 09:48:59.624369+00:00,51.6414,0.711395858593775,0.7027915283891986,0.0004423,-0.3316062935695899,0.9434178639738803,15.490655510000002,0.00025100000000000003
2024-03-19 01:05:03.773193+00:00,51.6411,0.6717425691421568,0.7407846656095783,0.0004418,-0.3050886935369919,0.9523239412489278,15.490812090000002,0.00024272
2024-03-19 04:19:28.854036+00:00,51.6413,0.6630356275735073,0.7485878415845434,0.0004546,-0.2800954241446931,0.9599721628116122,15.49086273,0.00024642
2024-03-19 07:32:01.667616+00:00,51.6413,0.6543555184608011,0.756187050576705,0.0004547,-0.2676773118170913,0.9635086178848509,15.490907659999998,0.00024956
